iter	Passed	Remaining
0	0	17
1	0	17
2	0	16
3	0	15
4	0	15
5	0	14
6	1	14
7	1	14
8	1	14
9	1	13
10	1	13
11	1	13
12	1	13
13	2	13
14	2	12
15	2	12
16	2	13
17	2	12
18	2	12
19	3	12
20	3	12
21	3	11
22	3	11
23	3	11
24	3	11
25	3	11
26	4	10
27	4	10
28	4	10
29	4	10
30	4	10
31	4	10
32	5	10
33	5	10
34	5	9
35	5	9
36	5	9
37	5	9
38	5	9
39	6	9
40	6	8
41	6	8
42	6	8
43	6	8
44	7	8
45	7	8
46	7	8
47	7	8
48	7	8
49	8	8
50	8	7
51	8	7
52	8	7
53	8	7
54	8	7
55	8	7
56	9	6
57	9	6
58	9	6
59	9	6
60	9	6
61	9	6
62	10	5
63	10	5
64	10	5
65	10	5
66	10	5
67	10	5
68	10	4
69	11	4
70	11	4
71	11	4
72	11	4
73	11	4
74	11	3
75	11	3
76	12	3
77	12	3
78	12	3
79	12	3
80	12	2
81	12	2
82	12	2
83	13	2
84	13	2
85	13	2
86	13	2
87	13	1
88	13	1
89	13	1
90	13	1
91	14	1
92	14	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	15	0
99	15	0
