iter	Passed	Remaining
0	58	58104
1	58	29234
2	59	19626
3	59	14807
4	60	11940
5	60	10001
6	60	8623
7	61	7593
8	61	6780
9	61	6136
10	62	5602
11	62	5158
12	62	4779
13	63	4458
14	63	4183
15	64	3950
16	64	3740
17	65	3549
18	65	3376
19	65	3220
20	66	3080
21	66	2953
22	66	2843
23	67	2737
24	67	2637
25	67	2546
26	68	2461
27	68	2380
28	68	2305
29	69	2238
30	69	2174
31	69	2112
32	70	2055
33	70	2000
34	70	1950
35	71	1902
36	71	1856
37	71	1812
38	72	1774
39	72	1738
40	72	1701
41	73	1668
42	73	1634
43	73	1603
44	74	1574
45	74	1545
46	74	1517
47	75	1490
48	75	1464
49	75	1441
50	76	1417
51	76	1394
52	76	1372
53	77	1354
54	77	1334
55	78	1315
56	78	1295
57	78	1276
58	78	1259
59	79	1243
60	79	1228
61	80	1212
62	80	1197
63	80	1182
64	81	1167
65	81	1152
66	81	1138
67	82	1125
68	82	1112
69	82	1099
70	83	1087
71	83	1074
72	83	1062
73	84	1051
74	84	1041
75	84	1030
76	85	1020
77	85	1009
78	85	998
79	86	989
80	86	979
81	86	970
82	86	958
83	87	950
84	87	940
85	87	932
86	88	924
87	88	916
88	88	909
89	89	901
90	89	893
91	89	886
92	90	879
93	90	872
94	90	864
95	91	857
96	91	850
97	91	844
98	92	837
99	92	830
100	92	825
101	92	818
102	93	812
103	93	806
104	94	801
105	94	796
106	94	790
107	95	785
108	95	779
109	95	774
110	96	769
111	96	765
112	96	759
113	97	754
114	97	750
115	97	746
116	98	741
117	98	736
118	98	731
119	99	726
120	99	722
121	99	717
122	99	712
123	100	708
124	100	703
125	100	700
126	101	696
127	101	692
128	101	688
129	102	684
130	102	679
131	102	675
132	103	672
133	103	668
134	103	664
135	104	661
136	104	657
137	104	654
138	105	651
139	105	648
140	105	645
141	106	641
142	106	637
143	106	634
144	107	631
145	107	628
146	107	625
147	108	622
148	108	619
149	108	616
150	109	613
151	109	611
152	109	608
153	110	605
154	110	602
155	110	600
156	111	597
157	111	594
158	112	592
159	112	589
160	112	586
161	112	583
162	113	580
163	113	578
164	113	576
165	114	573
166	114	570
167	114	568
168	115	566
169	115	563
170	115	561
171	116	559
172	116	557
173	116	554
174	117	552
175	117	550
176	118	548
177	118	546
178	118	543
179	118	541
180	119	539
181	119	537
182	120	536
183	120	533
184	120	531
185	121	529
186	121	527
187	121	525
188	121	523
189	122	521
190	122	519
191	122	517
192	123	515
193	123	513
194	123	511
195	124	509
196	124	508
197	125	506
198	125	505
199	125	503
200	126	501
201	126	500
202	126	498
203	127	496
204	127	495
205	128	493
206	128	491
207	128	490
208	129	488
209	129	486
210	129	485
211	130	483
212	130	481
213	130	480
214	131	478
215	131	477
216	131	475
217	132	473
218	132	472
219	132	470
220	133	469
221	133	467
222	133	466
223	134	464
224	134	462
225	134	461
226	135	459
227	135	458
228	135	456
229	136	455
230	136	454
231	136	452
232	137	451
233	137	449
234	137	448
235	138	447
236	138	445
237	138	444
238	139	443
239	139	441
240	139	440
241	140	438
242	140	437
243	140	435
244	141	434
245	141	433
246	141	432
247	142	430
248	142	429
249	142	427
250	142	426
251	143	425
252	143	423
253	143	422
254	144	421
255	144	420
256	144	419
257	145	418
258	145	416
259	145	415
260	146	414
261	146	413
262	146	411
263	147	410
264	147	409
265	148	408
266	148	407
267	148	406
268	149	405
269	149	403
270	149	402
271	150	401
272	150	400
273	150	399
274	151	398
275	151	397
276	151	396
277	152	395
278	152	394
279	152	393
280	153	392
281	153	391
282	154	390
283	154	389
284	154	388
285	155	387
286	155	386
287	155	385
288	156	384
289	156	383
290	157	382
291	157	382
292	158	381
293	158	380
294	158	379
295	159	378
296	159	377
297	159	376
298	160	375
299	160	374
300	161	374
301	161	373
302	161	372
303	162	371
304	162	370
305	163	369
306	163	368
307	163	367
308	164	366
309	164	365
310	164	364
311	164	363
312	165	362
313	165	361
314	166	361
315	166	360
316	166	359
317	167	358
318	167	357
319	167	356
320	168	355
321	168	354
322	168	354
323	169	353
324	169	352
325	169	351
326	170	350
327	170	349
328	171	349
329	171	348
330	171	347
331	172	346
332	172	345
333	172	344
334	173	344
335	173	343
336	173	342
337	174	341
338	174	340
339	175	339
340	175	338
341	175	337
342	175	337
343	176	336
344	176	335
345	177	334
346	177	333
347	177	332
348	178	332
349	178	331
350	178	330
351	179	329
352	179	328
353	179	328
354	180	327
355	180	326
356	180	325
357	181	324
358	181	324
359	181	323
360	182	322
361	182	321
362	182	320
363	183	320
364	183	319
365	183	318
366	184	317
367	184	316
368	184	316
369	185	315
370	185	314
371	186	314
372	186	313
373	186	312
374	187	311
375	187	310
376	187	310
377	188	309
378	188	309
379	189	308
380	189	307
381	189	306
382	190	306
383	190	305
384	190	304
385	191	304
386	191	303
387	191	302
388	192	301
389	192	301
390	192	300
391	193	299
392	193	298
393	193	298
394	194	297
395	194	296
396	194	296
397	195	295
398	195	294
399	195	293
400	196	293
401	196	292
402	197	291
403	197	291
404	197	290
405	197	289
406	198	288
407	198	288
408	199	287
409	199	287
410	199	286
411	200	285
412	200	285
413	200	284
414	201	283
415	201	283
416	202	282
417	202	281
418	202	281
419	203	280
420	203	280
421	204	279
422	204	278
423	204	278
424	205	277
425	205	276
426	206	277
427	206	276
428	207	275
429	207	275
430	207	274
431	208	273
432	208	273
433	209	272
434	209	272
435	209	271
436	210	270
437	210	270
438	210	269
439	211	268
440	211	268
441	211	267
442	212	266
443	212	266
444	212	265
445	213	264
446	213	264
447	213	263
448	214	262
449	214	262
450	214	261
451	215	260
452	215	260
453	215	259
454	216	259
455	216	258
456	217	257
457	217	257
458	217	256
459	218	256
460	218	255
461	218	254
462	219	254
463	219	253
464	219	252
465	220	252
466	220	251
467	220	251
468	221	250
469	221	249
470	221	249
471	222	248
472	222	247
473	222	247
474	223	246
475	223	245
476	223	245
477	223	244
478	224	243
479	224	243
480	224	242
481	225	242
482	225	241
483	225	240
484	226	240
485	226	239
486	226	239
487	227	238
488	227	237
489	227	237
490	228	236
491	228	236
492	228	235
493	229	234
494	229	234
495	229	233
496	230	232
497	230	232
498	230	231
499	231	231
500	231	230
501	231	229
502	232	229
503	232	228
504	232	228
505	233	227
506	233	226
507	233	226
508	234	225
509	234	225
510	234	224
511	234	223
512	235	223
513	235	222
514	235	222
515	236	221
516	236	221
517	236	220
518	237	219
519	237	219
520	237	218
521	238	218
522	238	217
523	238	217
524	239	216
525	239	215
526	239	215
527	240	214
528	240	214
529	240	213
530	241	213
531	241	212
532	242	212
533	242	211
534	242	210
535	243	210
536	243	209
537	243	209
538	243	208
539	244	207
540	244	207
541	244	206
542	244	206
543	245	205
544	245	204
545	245	204
546	246	203
547	246	203
548	246	202
549	246	201
550	247	201
551	247	200
552	247	200
553	247	199
554	248	199
555	248	198
556	248	197
557	249	197
558	249	196
559	249	196
560	249	195
561	250	194
562	250	194
563	250	193
564	251	193
565	251	192
566	251	192
567	251	191
568	252	191
569	252	190
570	252	189
571	252	189
572	253	188
573	253	188
574	253	187
575	254	187
576	254	186
577	254	186
578	255	185
579	255	184
580	255	184
581	255	183
582	256	183
583	256	182
584	256	182
585	257	181
586	257	181
587	257	180
588	257	179
589	258	179
590	258	178
591	258	178
592	258	177
593	259	177
594	259	176
595	259	176
596	259	175
597	260	174
598	260	174
599	260	173
600	261	173
601	261	172
602	261	172
603	262	171
604	262	171
605	262	170
606	262	170
607	263	169
608	263	169
609	263	168
610	263	168
611	264	167
612	264	166
613	264	166
614	264	165
615	265	165
616	265	164
617	265	164
618	266	163
619	266	163
620	266	162
621	266	162
622	267	161
623	267	161
624	267	160
625	267	160
626	268	159
627	268	159
628	268	158
629	268	157
630	269	157
631	269	156
632	269	156
633	270	155
634	270	155
635	270	154
636	270	154
637	271	153
638	271	153
639	271	152
640	271	152
641	272	151
642	272	151
643	272	150
644	273	150
645	273	149
646	273	149
647	273	148
